Gender,Ethnicity,Child's First Name,Count
FEMALE,BLACK NON HISPANIC,Zoey,34
MALE,WHITE NON HISPANIC,Ahmed,33
FEMALE,BLACK NON HISPANIC,Aisha,33
MALE,HISPANIC,Alexis,33
FEMALE,ASIAN AND PACIFIC ISLANDER,Aria,33
FEMALE,BLACK NON HISPANIC,Aria,33
MALE,ASIAN AND PACIFIC ISLANDER,Ayaan,33
MALE,BLACK NON HISPANIC,Dylan,33
MALE,HISPANIC,Eli,33
MALE,WHITE NON HISPANIC,Elijah,33
FEMALE,HISPANIC,Emely,33
FEMALE,BLACK NON HISPANIC,Gabrielle,33
FEMALE,WHITE NON HISPANIC,Isabel,33
MALE,BLACK NON HISPANIC,Jason,33
MALE,HISPANIC,Javier,33
MALE,ASIAN AND PACIFIC ISLANDER,Jeremy,33
FEMALE,WHITE NON HISPANIC,Juliet,33
MALE,ASIAN AND PACIFIC ISLANDER,Logan,33
MALE,HISPANIC,Oscar,33
FEMALE,BLACK NON HISPANIC,Serenity,33
FEMALE,HISPANIC,Serenity,33
MALE,WHITE NON HISPANIC,Shulem,33
FEMALE,ASIAN AND PACIFIC ISLANDER,Abigail,32
FEMALE,WHITE NON HISPANIC,Adele,32
FEMALE,HISPANIC,Amber,32
MALE,ASIAN AND PACIFIC ISLANDER,Andy,32
MALE,ASIAN AND PACIFIC ISLANDER,Darren,32
MALE,HISPANIC,Edwin,32
FEMALE,HISPANIC,Elena,32
MALE,WHITE NON HISPANIC,Elias,32
FEMALE,WHITE NON HISPANIC,Elle,32
FEMALE,WHITE NON HISPANIC,Esty,32
MALE,ASIAN AND PACIFIC ISLANDER,Gavin,32
MALE,HISPANIC,Henry,32
FEMALE,HISPANIC,Isabel,32
MALE,HISPANIC,Jadiel,32
MALE,BLACK NON HISPANIC,Jayceon,32
MALE,BLACK NON HISPANIC,Jordan,32
MALE,HISPANIC,Josue,32
